x Norm_heat_flux
0.018014092 267737.359868182
0.0180143304 268379.471988808
0.0180145688 269021.584109435
0.018015366 269404.684321717
0.0180164818 269155.47793122
0.0180179179 268537.342381873
0.0180196725 267747.530226169
0.0180217456 266909.278139827
0.0180241354 266091.235286492
0.0180268455 265324.660486764
0.0180298723 264613.965947662
0.0180332176 263945.595875741
0.0180368777 263303.549496598
0.0180408563 262676.439983887
0.0180451497 262039.553558401
0.0180497598 261366.155015789
0.0180546828 260645.608287405
0.0180599224 259872.770482265
0.0180654731 259044.800163141
0.0180713385 258160.353393453
0.0180775151 257218.941377747
0.0180840027 256220.378433972
0.0180908013 255164.665565814
0.0180979092 254052.212277474
0.0181053262 252883.972071378
0.0181130506 251660.376532834
0.0181210805 250380.676911517
0.0181294177 249047.097377297
0.0181380603 247662.57371396
0.0181470066 246227.948014703
0.0181562547 244744.489943282
0.0181658026 243213.527377288
0.0181756541 241636.331987851
0.0181858018 240014.137306005
0.0181910256 239181.073276549
0.0181962494 238348.009247094
0.0182069931 236638.938449955
0.0182180312 234887.953693521
0.0182293635 233096.512330976
0.0182409901 231264.670568778
0.0182529055 229391.4749045
0.0182651132 227478.627590896
0.0182776079 225527.717464113
0.0182903893 223538.892066107
0.0183034558 221512.82687807
0.0183168072 219450.268642955
0.0183304418 217352.115660416
0.0183443557 215219.301359145
0.0183585491 213052.909720847
0.0183730181 210854.045804651
0.0183877647 208623.942137903
0.0184027851 206364.505725456
0.0184180792 204076.559590458
0.0184336416 201760.308485008
0.0184494741 199417.771826878
0.018465573 197050.708075278
0.0184819363 194660.12493172
0.0184985641 192247.219794516
0.0185154527 189813.339611303
0.0185326003 187359.062505657
0.0185500029 184886.333622529
0.0185676627 182396.198803527
0.0185855739 179885.331830713
0.0186037328 177294.58042461
0.0186221395 174915.812681647
0.0186595805 169560.483366033
0.0186690986 168311.761031179
0.0186786167 167063.038696324
0.0186978914 164495.693265574
0.0187174026 161924.83392746
0.0187371485 159374.782019665
0.0187571254 156854.230473259
0.0187773295 154358.646638812
0.018797759 151871.681462613
0.0188184138 149370.825261591
0.0188392866 146836.710895933
0.0188603774 144262.363746312
0.0188816823 141656.245895841
0.0189031977 139036.843247352
0.0189249236 136423.359339714
0.0189468563 133829.494497267
0.0189689901 131261.888107957
0.0189913251 128721.29594792
0.0190138556 126204.801303417
0.0190365836 123708.132483577
0.0190594997 121227.551758888
0.0190826058 118760.739609238
0.0191058982 116306.958324854
0.0191293713 113867.095164836
0.019153025 111442.627556103
0.0191768538 109035.20054126
0.0192008559 106646.888740851
0.0192250293 104279.712576334
0.0192493685 101935.502772366
0.0192738716 99615.4290255044
0.0192985348 97321.733772718
0.0193233564 95029.0012562762
0.0193734579 90546.0323143302
0.0193987321 88397.0653808484
0.0194241516 86265.6063578156
0.0194497108 84161.0028811774
0.0194754098 82083.6756964256
0.0195012428 80033.3067352245
0.0195272081 78008.9755164421
0.0195533 76009.8498833819
0.0195795167 74035.7711531663
0.0196058564 72087.4682031239
0.0196323115 70166.5256539187
0.019658884 68275.1027368878
0.0196855664 66415.573673073
0.0197123569 64590.0556393358
0.0197392516 62800.0724329224
0.0197662469 61046.3857517185
0.0197933391 59328.7713721009
0.0198205281 57646.4860640203
0.0198478047 55998.5016507549
0.0198751707 54383.5280937062
0.0199026205 52800.5512677669
0.0199301504 51248.944872396
0.0199577566 49728.5220211178
0.0199854374 48239.432062523
0.0200131871 46782.1145110457
0.0200410057 45357.0273489568
0.0200688876 43965.0586383056
0.0200968292 42605.8110195021
0.0201248303 41282.1542337438
0.0201528836 39975.5942483355
0.0201809853 38600.8179893831
0.0202114256 37340.222190655
0.0202418659 36079.626391927
0.0202760268 35212.9695686687
0.0203116387 34508.6051816229
0.0203487631 33906.7600706787
0.0203874651 33375.6245919396
0.0204278119 32895.926453993
0.0204698704 32455.1188696993
0.0205137152 32044.4617347114
0.0205594227 31658.1574531704
0.0206070691 31291.7259688332
0.0206567384 30941.2649475587
0.0207085144 30601.9133336082
0.0207624882 30268.4741372824
0.0208187513 29941.1506051514
0.0208774004 29620.5222659531
0.0209385343 29306.1333455276
0.021002261 28996.2663350831
0.0210686885 28684.9388600273
0.0211379286 28368.7668900643
0.0212101042 28050.3562971412
0.0212853327 27735.263993031
0.0213637482 27426.6238892877
0.0214454811 27122.6318589518
0.0215306729 26818.6958343373
0.0216194671 26511.5840444306
