x Norm_heat_flux
0.0180150419 266569.849342364
0.0180169381 266788.404142753
0.0180201065 266337.907869751
0.0180245433 265290.775519744
0.0180302449 263765.225836472
0.0180372111 261929.991111166
0.0180454366 259962.749997035
0.0180549184 257930.87045157
0.01806565 255824.575060152
0.0180776287 253624.056566324
0.0180908442 251289.67084841
0.0181052946 248787.095331959
0.0181209706 246082.808384562
0.0181378648 243163.985398582
0.0181559706 240040.357619046
0.0181752779 236720.346981597
0.01819578 233210.197421598
0.0182174668 229524.070959299
0.0182403289 225672.707043083
0.0182643589 221655.536582554
0.0182895437 217484.748349782
0.0183158759 213176.083164299
0.0183433443 208733.149280024
0.0183719378 204165.220762662
0.018401647 199490.580268476
0.0184324589 194715.013549822
0.0184643641 189851.149997259
0.0184973478 184910.188245866
0.01853139975 179889.77214096
0.0185665023 174695.014139495
0.018602632 169854.379411572
0.0186399799 164398.390350326
0.0186773278 158942.401289079
0.0187158808 153929.406945956
0.018755395 148865.36509398
0.018795846 143862.447765974
0.0188372135 138904.547796739
0.0188794713 133938.025154508
0.0189225972 128927.021624083
0.0189665668 123876.323787643
0.0190113559 118823.083110785
0.0190569405 113816.393927917
0.0191032961 108898.544071654
0.0191503987 104095.448734261
0.0191982221 99414.9985999752
0.0192467421 94854.6225244119
0.0192959309 90410.2263187047
0.0193457678 86079.5338220086
0.0193962213 81860.5586880321
0.0194472689 77759.3535494408
0.0194988828 73781.1645765854
0.0195510369 69924.6575184652
0.0196037032 66194.1602724095
0.0196568556 62592.37431153
0.0197104663 59120.4492586468
0.0197645091 55778.6656442109
0.019818956 52567.1239874516
0.0198737793 49486.3009392135
0.0199289545 46536.6802765172
0.0199844539 43718.7457261989
0.0200402513 41038.297443519
0.0200963281 38498.2588669169
0.0201526638 35980.4149161114
0.0202143453 33790.6645259229
0.0202760268 31600.9141357344
0.0203487631 30380.0163064771
0.0204278119 29417.1052700869
0.0205137152 28612.7370968935
0.0206070691 27915.8647297028
0.0207085144 27271.9801484344
0.0208187513 26645.2612204282
0.0209385343 26048.2990957786
0.0210686885 25485.1470631164
0.0212101042 24925.9431828962
0.0213637482 24347.3186161752
0.0215306729 23755.3761297733
0.0217120145 23164.8953625912
0.0219090097 22588.8425424675
0.0221229922 22018.5852104605
0.0223554168 21432.8938859666
0.0226078518 20829.7787097903
0.0228819996 20212.4131889287
0.0231797025 19585.5727144553
0.0235029534 18957.9230677121
0.0238539111 18343.4050563863
0.0242349096 17747.2403608713
0.0246484708 17153.5755479812
0.0250973199 16555.3684502687
0.0255844016 15967.2309905762
0.0261128936 15400.7331178995
0.0266862232 14853.8137614672
0.0273080822 14324.8463465085
0.027982451 13821.1144271376
0.0287136119 13347.1685685925
0.0295061674 12911.0528184491
0.0304008862 12501.0976870767
0.031295605 12091.1425557042
0.0323034823 11706.7223447735
0.0333947837 11363.6288360111
0.03457601 11052.3977148847
0.0358541161 10757.2315037455
0.0372364931 10473.0160170528
0.0387310162 10205.9748655126
0.0403460413 9968.78693649822
0.0420904085 9764.92127257445
0.0439734645 9584.46338562143
0.0460050628 9419.18243191963
0.0481955446 9265.84474348737
0.0505557396 9124.46288146452
0.0530969501 8995.27578352228
0.0558309145 8877.46174636169
0.0587697774 8769.25963594574
0.0619260333 8668.40032225522
0.0653124675 8574.73980133156
0.0689420775 8486.44886910137
0.0728279725 8399.82940153263
0.076983273 8313.68519470228
0.0814209655 8226.98013774468
0.086153768 8138.12776823048
0.0911939517 8045.3856457887
0.0965531468 7947.35192613349
0.102242149 7843.11989871535
