x Norm_heat_flux
0.0180150419 267472.80509968
0.0180169381 268752.318035259
0.0180201065 268996.046303393
0.0180245433 268452.167515646
0.0180302449 267398.828366687
0.0180372111 266059.042033514
0.0180454366 264571.528063877
0.0180549175 262944.210564784
0.01806565 261155.199127896
0.0180776287 259211.430232444
0.0180908442 257109.051728626
0.0181052946 254833.780150093
0.0181209706 252365.481540344
0.0181378648 249699.706555952
0.0181559697 246841.989525737
0.0181752779 243789.860376572
0.01819578 240547.397087781
0.0182174668 237128.433474043
0.0182403289 233538.59620336
0.0182643589 229776.744083881
0.0182895437 225855.367997392
0.0183158759 221789.907657396
0.0183433443 217581.952903727
0.0183719378 213236.253182157
0.018401647 208771.035444331
0.0184324589 204191.067202383
0.0184643641 199495.075781495
0.0184973478 194679.100633694
0.0185313988 189747.102306952
0.0185665023 184634.248658391
0.018602632 179926.722869203
0.0186399799 174533.058239455
0.0186773278 169139.393609707
0.0187158808 164310.686695295
0.018755395 159377.885419142
0.018795846 154351.421097793
0.0188372135 149198.699003564
0.0188794713 143948.884266464
0.0189225972 138671.680924929
0.0189665668 133424.044188108
0.0190113559 128238.933121982
0.0190569405 123131.631868603
0.0191032961 118105.690468058
0.0191503987 113160.848965475
0.0191982221 108297.49980238
0.0192467421 103519.391748837
0.0192959309 98833.4867777226
0.0193457678 94246.713238404
0.0193962213 89763.1459987775
0.0194472689 85394.0678028712
0.0194988828 81146.2647776386
0.0195510369 77016.0260923733
0.0196037032 73005.9222892484
0.0196568556 69117.7433432401
0.0197104663 65354.2001119311
0.0197645091 61719.0830183883
0.019818956 58216.9630528757
0.0198737793 54851.0977811567
0.0199289545 51624.4971594701
0.0199844539 48534.8476898231
0.0200402513 45594.8152969744
0.0200963281 42787.8034180575
0.0201526638 40071.962931943
0.0202143453 37639.4820386327
0.0202760268 35207.0011453224
0.0203487631 33953.0141722809
0.0204278119 32916.3625202092
0.0205137152 32129.3166255975
0.0206070691 31392.738108889
0.0207085144 30692.9819488859
0.0208187513 30053.4242110759
0.0209385343 29476.2987007224
0.0210686885 28919.8640926546
0.0212101042 28335.1063474049
0.0213637482 27726.1501157327
0.0215306729 27121.6410193777
0.0217120145 26536.5817666238
0.0219090097 25968.2944208143
0.0221229922 25395.1861667365
0.0223554168 24798.1246269129
0.0226078518 24188.9838172447
0.0228819996 23583.7502597829
0.0231797025 22981.2438196294
0.0235029534 22367.4829394146
0.0238539111 21757.3022098895
0.0242349096 21176.7367638873
0.0246484708 20607.8489122864
0.0250973199 20025.1172091399
0.0255844016 19428.9297801197
0.0261128936 18866.7347126033
0.0266862232 18385.4357946356
0.0273080822 17963.2216080268
0.027982451 17553.1277420513
0.0287136119 17124.4743026349
0.0295061674 16704.1413261292
0.0304008862 16331.331362218
0.031295605 15958.5213983068
0.0323034823 15623.4965776301
0.0333947837 15331.582813452
0.03457601 15091.1752429785
0.0358541161 14898.1609585851
0.0372364931 14732.1412312033
0.0387310162 14580.6932290089
0.0403460413 14456.424361822
0.0420904085 14370.1394180335
0.0439734645 14316.8839990354
0.0460050628 14292.1234480247
0.0481955446 14294.6519357224
