x Norm_heat_flux
0.0180187915 270085.401246374
0.0180262625 269562.91955492
0.0180387404 266944.891957299
0.0180562008 263088.976321605
0.01807860935 258447.54732062
0.0181059232 253071.147608755
0.0181380948 246914.133526698
0.01817507205 240104.659815314
0.0182168037 232649.699086557
0.0182632357 224550.625889452
0.0183143206 215931.360912247
0.0183700118 206744.689725843
0.0184302628 197090.070160973
0.01849503535 186926.943737317
0.01856426985 177042.177793611
0.018638571225 166304.542822288
0.0187128726 155566.907850964
0.0187919755 145750.533625249
0.0188749339 135634.999518759
0.0189615451 125441.217992092
0.0190516002 115343.490794337
0.0191448946 105519.157332579
0.0192412194 96094.0904658211
0.0193403661 87107.6253809545
0.0194421224 78592.0343211052
0.0195462685 70587.1893452134
0.0196525902 63081.8359630333
0.0197608657 56108.9593865847
0.0198708791 49674.6286086277
0.0199824255 43859.2372829324
0.0200953241 38295.5336119689
0.0202220436 34215.7501349047
0.0203487631 30135.9666578405
0.0205137152 28272.8644691433
0.0207085144 27209.4800215683
0.0209385343 26031.2818376047
0.0212101042 24888.2783817046
0.0215306729 23826.7868371835
0.0219090097 22786.7654573523
0.0223554168 21731.0051649951
0.0228819996 20620.3968536658
0.0235029534 19462.5348690853
0.0242349096 18328.2415574824
0.0250973199 17247.4917229791
0.0261128936 16192.7526317206
0.0273080822 15170.2035816425
0.0287136119 14263.6998417976
0.0305085471 13570.3999972772
0.0323034823 12877.1001527569
0.03457601 12305.9459764413
0.0372364931 11798.4581608281
0.0403460413 11402.1472226116
0.0439734645 11139.9954809614
0.0481955446 10984.7284004429
0.0530969501 10930.8391030686
0.0587697774 10979.3499943612
0.0653124675 11151.2201617102
0.0728279725 11469.6465626998
0.0814209655 11945.4222425856
0.0911939517 12567.7776423823
0.102242149 13280.3194669749
0.11464712 13984.3818948575
0.128469378 14593.5758497399
0.144461401 14952.3440350755
0.160453424 15311.1122204111
0.178558066 15441.8565734978
0.197952598 15476.5184944423
0.218482539 15440.8078713817
0.239941671 15355.1164577615
0.262078047 15235.9911339534
0.28460446 15097.9784827914
0.307212591 14953.4178293607
0.329589576 14810.7495771406
0.351435304 14674.4971416422
0.372477829 14547.4246260311
0.392486155 14429.9952819337
0.411278367 14324.8428837892
0.428725481 14227.1532480306
0.444750726 14150.9963066475
0.4588992895 14073.5748454016
0.473047853 13996.1533841557
0.486770242 13947.4654425178
0.500492632 13892.8155011288
0.514214993 13838.3128005882
0.527937412 13784.5742067816
0.541659772 13731.9322913184
0.555382192 13680.7064775116
0.569104552 13631.0470172697
0.582826912 13582.7755554548
0.596549332 13535.4453510878
0.610271692 13488.6485560519
0.623994112 13442.121050175
0.637716472 13396.2449871927
0.651438892 13350.7883649094
0.665161252 13306.9483307137
0.678883642 13266.0197409007
0.692606032 13225.0911510877
0.706328392 13184.3790063255
0.720050812 13144.1570621792
0.733773172 13104.5975512977
0.747495592 13065.7759509255
0.761217952 13027.7027495894
0.774940372 12990.3686130025
0.788662732 12953.7594895501
0.802385092 12917.8689054526
0.816107512 12882.677138265
0.829829872 12848.20446246
0.843552291 12814.3569831407
0.857274652 12781.3220886261
0.870997071 12748.6961964681
0.884719431 12716.9454188003
0.898441821 12687.0469701489
0.912164211 12657.1485214975
0.925886571 12627.2485422238
0.939608991 12597.4602231027
0.953331351 12567.9464624961
0.967053771 12538.8592185801
0.980776131 12510.2726136224
0.994498551 12482.2147508523
1.00822091 12454.6557705886
1.02194333 12427.6314040801
1.03566563 12401.022965367
1.04938805 12374.9788997216
1.06311047 12349.2819089595
1.07683289 12324.1509473483
1.09055519 12297.0938606513
1.10427761 12325.5378919041
1.119421065 9525.08094571286
1.13456452 6724.62399952163
1.15059936 5901.73304804407
1.16612196 5557.0782292426
1.18114924 5307.38032831914
1.1956979 5109.68641460651
1.20978367 4949.99209686106
1.22342205 4821.63590602542
1.23662806 4718.66215051985
1.24941611 4635.70137213016
1.26180029 4568.27843267855
1.27379405 4512.93225385461
1.28541064 4467.02798727425
1.29666269 4428.68136660817
1.30756259 4396.48442508127
1.31812239 4369.04450716005
1.32819474 4347.57878378406
1.33826709 4326.11306040808
1.34787416 4310.01174168343
1.35718524 4296.30718680544
1.36621046 4284.49771800007
1.37495971 4274.27425996498
1.38344264 4265.4024016563
1.39166856 4257.69431815129
1.3996464 4250.99167786282
1.40738499 4245.164342765
1.41489279 4240.09402335415
1.42217791 4235.69205394149
1.42924857 4231.86159380952
1.43611228 4228.5246665335
1.44277668 4225.71046434297
1.44924903 4223.10380952008
1.455447435 4220.77999111826
1.46164584 4218.45617271645
1.46758378 4217.23997033462
1.47335696 4216.4020424391
1.47897172 4215.74158141889
1.48443401 4215.20015263053
1.48974991 4214.75146951767
1.49492526 4214.37961360821
1.49996579 4214.07348412654
1.50487697 4213.82781171714
1.50966418 4213.63575123628
1.51433265 4213.49758371625
1.51888752 4213.40921913349
1.52333367 4213.34437093162
1.52767622 4213.40892806433
1.53191972 4213.42951869831
1.536023975 4213.17808512688
1.54012823 4212.92665155545
1.54410231 4213.20517965109
1.54799533 4213.71462094226
1.5518117 4214.28876490071
1.55555546 4214.88409166832
1.5592308 4215.48803006839
1.56284177 4216.09313776353
1.5663923 4216.69328222762
1.56988633 4217.28626538664
1.57332754 4217.8687349268
1.57671976 4218.44258781609
1.5800668 4219.00695084702
1.58337235 4219.55085874168
1.58663976 4220.13172238302
1.58987296 4220.67679957277
1.59306163 4221.19099081155
1.5962503 4221.70518205032
1.59940147 4222.7283001908
1.60253227 4216.3658244022
1.60564613 4144.54602932198
1.60874641 3680.83993872194
1.61183655 3860.88536561743
1.61492002 5315.34708197715
1.61800003 14176.878527802
1.62059247 18748.2047255997
1.62318504 21600.1299311542
1.62577748 24275.3926661643
1.62837005 26299.706420797
1.63096249 28086.2006614633
1.63355505 30048.1720186048
1.6361475 32428.444388397
1.638740005 35117.8961428311
1.64133251 37807.3478972652
1.64392495 40406.0751002445
1.64651752 42886.7683382193
1.64910996 45220.6675189746
1.65170252 47302.1731019122
1.65429497 49106.0141111172
1.65688753 50679.2718366391
1.65947998 52068.1114032483
1.66207254 53240.9312814989
1.66466498 54175.6126239449
1.66725755 54915.6637463063
1.66984999 55537.9940037496
1.67244256 56082.1599462802
1.675035 56519.8244352859
1.67762744 56832.2176249484
1.680219945 57060.0328910876
1.68281245 57287.8481572267
1.68540502 57498.1823113537
1.68799746 57676.5454789365
1.69059002 57812.907717767
1.69318247 57912.0012102034
1.69577503 57981.675589695
1.69836748 58035.1623584924
1.70096004 58085.2418616452
1.70355248 58135.5013760193
1.70614505 58187.2074037588
1.70873749 58242.1056572533
1.71133006 58302.4581453647
1.7139225 58343.1738030306
1.71651495 58537.0328905738
1.71910751 61008.0770854674
1.721966265 39218.9841511769
1.72482502 17429.8912168863
1.72794998 10488.166066554
1.73107505 8987.02217618692
1.7342 8493.62955034056
1.73732495 8266.64359042762
1.74045002 8075.87826696792
1.74357498 7895.18435805375
1.74670005 7727.50254044486
1.749825 7571.89222414501
1.75294995 7427.13471762919
1.75607502 7292.08436765824
1.75919998 7167.46618234824
1.76232505 7050.65292126073
1.76545 6951.12651363061
