x Norm_pressure Norm_heat_flux
0.0186501406 35.305378 167291.530999371
0.018650163 35.2764511 167213.684050213
0.0186501648 35.3324699 167368.124343759
0.0186502337 35.3577957 167444.138560884
0.0186502356 35.2456055 167133.500518267
0.0186503455 35.3814163 167519.723200074
0.0186503567 35.2127533 167049.260084418
0.0186505001 35.4033775 167594.597229035
0.0186505336 35.1777878 166958.701442386
0.0186506975 35.4237213 167668.088177633
0.0186507665 35.140583 166858.757325416
0.0186509341 35.4424706 167739.241539757
0.0186510589 35.1010094 166745.203215917
0.0186512116 35.4596519 167806.955267338
0.0186514147 35.0589066 166612.31809933
0.0186515264 35.4752731 167870.163445033
0.0186518412 35.0141144 166453.09222729
0.0186518822 35.4893417 167927.875434003
0.0186522771 35.5018463 167979.324417562
0.0186523404 34.9664345 166261.186314191
0.0186527129 35.5127792 168023.931268446
0.0186529178 34.915657 166036.377541571
0.018653186 35.5221214 168061.414954361
0.0186535828 34.8615379 165793.321743569
0.0186537001 35.5298462 168091.625925979
0.0186542533 35.5359268 168114.602323397
0.018654339 34.8038216 165568.737796784
0.0186548494 35.540329 168130.474625894
0.0186550226 35.1412926 166770.983914156
0.0186551958 34.7422562 165411.493202418
0.0186554864 35.5430107 168139.41044916
0.0186561607 34.6771736 165329.439802029
0.0186561663 35.5439301 168141.579416258
0.0186568908 35.5430336 168137.054796323
0.0186572373 34.6078682 165206.126846117
0.0186576582 35.5402756 168125.912869548
0.0186584108 34.5357628 164870.47492195
0.0186584741 35.5355949 168108.059289377
0.0186593365 35.5289421 168083.381642893
0.0186595805 34.4625053 164243.252996321
0.018659913 34.99137685 166147.47312034
0.0186602455 35.5202484 168051.693244358
0.0186612066 35.5094566 168012.732131526
0.018662218 35.4965134 167966.312622345
0.0186632816 35.4813538 167912.189817244
0.0186643992 35.463932 167850.216174271
0.0186655689 35.4441986 167780.333479591
0.0186667945 35.4221191 167702.598943351
0.0186680723 35.3976631 167617.144048517
0.0186694041 35.3708267 167524.209679912
0.018670788 35.3416138 167424.135083664
0.0186722204 35.310051 167317.405040478
0.0186736993 35.2761993 167204.449128291
0.0186752193 35.2401352 167085.791271593
0.0186767783 35.201992 166961.879114683
0.0186783671 35.1619339 166833.032833637
0.0186799802 35.1202011 166699.419040458
0.0186816063 35.0771141 166560.906252181
0.018683238 35.033123 166417.197377524
0.0186848603 34.9888763 166269.300117997
0.0186864566 34.9452667 166118.673834157
0.0186880026 34.9038353 165954.287004772
0.0186894611 34.8659477 165741.274562698
0.0186907761 34.8361549 165547.08827327
0.0186918192 34.8161201 165529.72148118
0.0193734579 14.8889589 85305.097695881
0.0193734579 16.3581848 91777.8353006547
0.0193987321 14.4229603 83222.6759978489
0.0193987321 15.863987 89574.0542226293
0.0194241516 13.9671898 81139.0578048247
0.0194241516 15.381238 87387.7998239952
0.0194497108 13.5220232 79068.6383938623
0.0194497108 14.9094191 85230.4854284288
0.0194754098 13.087491 77019.3818187025
0.0194754098 14.44806 83104.3265740943
0.0195012428 12.6634655 74997.1444912486
0.0195012428 13.9967451 81010.4260116403
0.0195272081 12.2497644 73005.3707633712
0.0195272081 13.5550737 78948.6811642793
0.0195533 11.8462124 71045.771318792
0.0195533 13.1226807 76918.1945353063
0.0195795167 11.4526558 69119.1221077488
0.0195795167 12.6992989 74917.6761864913
0.0196058564 11.0689716 67225.7407971025
0.0196058564 12.2848024 72945.8314622766
0.0196323115 10.6950493 65365.7817538777
0.0196323115 11.8792343 71001.6649061289
0.019658884 10.3307829 63539.3336036157
0.019658884 11.4827881 69084.8305472204
0.0196855664 9.97606564 61746.4853733324
0.0196855664 11.0957651 67195.7445140838
0.0197123569 9.6307888 59987.3024030363
0.0197123569 10.718504 65335.5984840147
0.0197392516 9.29484463 58261.8406984488
0.0197392516 10.3513021 63506.1591464564
0.0197662469 8.9681282 56570.1844688895
0.0197662469 9.99435043 61709.4784386308
0.0197933391 8.65052605 54912.2776082682
0.0197933391 9.64767456 59947.3321835305
0.0198205281 8.34192753 53288.1995082081
0.0198205281 9.31114388 58221.1741210657
0.0198478047 8.04222965 51698.0905844875
0.0198478047 8.98449898 56531.8827782614
0.0198751707 7.75131512 50141.9179161806
0.0198751707 8.66738415 54879.4209183387
0.0199026205 7.46905565 48619.6955549019
0.0199026205 8.3594141 53263.1994775354
0.0199301504 7.19531202 47131.386163504
0.0199301504 8.06022644 51682.2464855885
0.0199577566 6.92993546 45676.9056330359
0.0199577566 7.76952314 50135.4586900063
0.0199854374 6.67276239 44256.0995964732
0.0199854374 7.48707914 48621.7987805174
0.0200131871 6.4236207 42868.8000366514
0.0200131871 7.21274376 47140.5607638515
0.0200410057 6.18231344 41514.7917631283
0.0200410057 6.94639874 45691.2868584753
0.0200688876 5.94868374 40194.2570454203
0.0200688876 6.68800449 44274.2806796351
0.0200968292 5.72256613 38906.1771414612
0.0200968292 6.43751764 42889.0047530684
0.0201248303 5.50471592 37653.7838222647
0.0201248303 6.19577408 41538.7541824237
0.0201528836 5.29686356 36417.4472831927
0.0201528836 5.96463346 40206.4602705803
