x Norm_pressure Norm_heat_flux
0.0180187915 65.8767395 267982.564559548
0.0180262625 65.1455002 265718.735010132
0.0180387404 64.1124496 262107.453971721
0.0180562008 62.8134651 257860.371493217
0.0180786084 61.2502365 253057.276657667
0.0181059223 59.4314919 247468.855142564
0.0181380939 57.3850632 241126.347702148
0.0181750711 55.1238251 234006.403563836
0.0182168037 52.6827469 226204.929012745
0.0182632357 50.0870018 217808.163826757
0.0183143206 47.3569565 208826.16695463
0.0183700118 44.5296364 199391.991128639
0.0184302628 41.6369476 189550.186993211
0.0184950363 38.7073822 179183.42356555
0.0185642689 35.8458557 169086.804437983
0.01863857075 33.02729795 158220.70835041
0.0187128726 30.2087402 147354.612262836
0.0187919755 27.5874748 137615.734197755
0.0188749339 25.0342331 127780.90267428
0.0189615451 22.544775 117925.338996994
0.0190516002 20.156662 108132.141404207
0.0191448946 17.9126415 98561.0240615698
0.0192412194 15.8402958 89382.4479100294
0.0193403661 13.9446974 80688.3091046012
0.0194421224 12.2208395 72522.9150964072
0.0195462685 10.661623 64906.587431004
0.0196525902 9.2559433 57808.1614336097
0.0197608657 7.99785471 51244.6169750666
0.0198708791 6.87855244 45218.150623859
0.0199824255 5.88772774 39798.2289461341
0.0200953241 5.02695274 34643.0581573052
0.0202220436 4.55375838 30881.754853749
0.0203487631 4.08056402 27120.4515501928
0.0205137152 3.93700314 25327.829952381
0.0207085144 3.85971785 24289.0167604928
0.0209385343 3.75907922 23200.4208054438
0.0212101042 3.65236616 22139.1266359249
0.0215306729 3.54758549 21124.8531839592
0.0219090097 3.43606591 20149.0261542529
0.0223554168 3.31012964 19174.1888600654
0.0228819996 3.1685524 18148.6013490445
0.0235029534 3.01581144 17084.2902978483
0.0242349096 2.8553791 16025.9640300927
0.0250973199 2.68792486 14969.0072929275
0.0261128936 2.51934934 13909.4623487022
0.0273080822 2.36100507 12905.427906898
0.0287136119 2.21946549 12024.759114561
0.0305085471 2.098093625 11298.9647604802
0.0323034823 1.97672176 10573.1704063994
0.03457601 1.87053788 9930.00330057791
0.0372364931 1.77792132 9353.94580327384
0.0403460413 1.70369244 8873.59974537314
0.0439734645 1.64993727 8513.49604439157
0.0481955446 1.61343253 8252.75048797245
0.0530969501 1.59149778 8078.48799307231
0.0587697774 1.58355558 7989.1580141927
0.0653124675 1.5881151 7982.1911634003
0.0728279725 1.60281563 8050.50313847749
0.0814209655 1.62494254 8180.27300204749
0.0911939517 1.65147805 8360.45659646301
0.102242149 1.6791954 8581.27754090301
0.11464712 1.70528722 8831.0934603347
0.128469378 1.72836864 9099.27266218676
0.144461401 1.746485175 9366.83433571996
0.160453424 1.76460171 9634.39600925316
0.178558066 1.77923191 9878.94808341046
0.197952598 1.79251564 10097.9790227637
0.218482539 1.80429125 10281.8069636744
0.239941671 1.81440306 10426.0409672475
0.262078047 1.82278788 10531.0071313128
0.28460446 1.82951331 10600.486343913
0.307212591 1.83476615 10640.5313380827
0.329589576 1.8388077 10657.7459712589
0.351435304 1.84190249 10657.9481137733
0.372477829 1.8443011 10646.7415495707
0.392486155 1.84615469 10627.4833097728
0.411278367 1.84765077 10605.2243476545
0.428725481 1.8487668 10578.4775005365
0.444750726 1.84973085 10561.8645775757
0.4588992895 1.850168585 10528.7782942987
0.473047853 1.85060632 10495.6920110218
0.486770242 1.8512435 10482.3121638675
0.500492632 1.85179627 10463.6509169573
0.514214993 1.85224557 10443.6879886819
0.527937412 1.85260487 10422.8453289573
0.541659772 1.85289514 10401.391423993
0.555382192 1.85312903 10379.4971012763
0.569104552 1.85331643 10357.2814984262
0.582826912 1.85347247 10334.8671655968
0.596549332 1.85361564 10312.3816713757
0.610271692 1.85376084 10289.9323098781
0.623994112 1.85391104 10267.5636447964
0.637716472 1.85405982 10245.2837056247
0.651438892 1.8541795 10222.9862019346
0.665161252 1.85432506 10200.9493556974
0.678883642 1.854416015 10178.9346909376
0.692606032 1.85450697 10156.9200261778
0.706328392 1.85442626 10134.4309186844
0.720050812 1.8543669 10112.2714219245
0.733773172 1.85433316 10090.4670295419
0.747495592 1.85431826 10068.996864852
0.761217952 1.85431612 10047.8351331048
0.774940372 1.85432136 10026.9643801877
0.788662732 1.85432863 10006.3635286784
0.802385092 1.85433257 9986.01387989262
0.816107512 1.85432923 9965.90026812327
0.829829872 1.85431647 9946.01216469623
0.843552291 1.85429358 9926.34489243115
0.857274652 1.85426402 9906.91014427886
0.870997071 1.8542186 9887.6576756799
0.884719431 1.85421419 9868.82934503398
0.898441821 1.854216515 9850.39303436461
0.912164211 1.85421884 9831.95672369525
0.925886571 1.85411441 9813.39831453096
0.939608991 1.85402894 9795.15245342519
0.953331351 1.8539623 9777.21272681953
0.967053771 1.85390675 9759.54408597216
0.980776131 1.85385597 9742.11613924783
0.994498551 1.85380709 9724.91429304098
1.00822091 1.85375881 9707.92568008729
1.02194333 1.85371041 9691.15440546564
1.03566563 1.85366797 9674.59461768218
1.04938805 1.85360539 9658.21943800535
1.06311047 1.85360098 9642.09548112572
1.07683289 1.85349536 9626.23734064887
1.09055519 1.8533901 9608.52897387934
1.10427761 1.85262549 9642.20765315855
1.119421065 1.4161467555 7557.19464667419
1.13456452 0.979668021 5472.18164018983
1.15059936 0.893583536 4860.45326582101
1.16612196 0.847698569 4597.79788418914
1.18114924 0.815146267 4408.91872904515
1.1956979 0.789527595 4257.99299525873
1.20978367 0.76821667 4131.20676122358
1.22342205 0.75015521 4022.98157604891
1.23662806 0.734806657 3930.27947059843
1.24941611 0.72180748 3850.94467625457
1.26180029 0.710840762 3783.10328975388
1.27379405 0.70160985 3725.03652762239
1.28541064 0.693848789 3675.22716676224
1.29666269 0.687322676 3632.35341192551
1.30756259 0.6818524 3595.39928118461
1.31812239 0.677214205 3563.30005358269
1.32819474 0.6736074685 3537.02873318005
1.33826709 0.670000732 3510.75741277741
1.34787416 0.667376995 3489.79666930492
1.35718524 0.665207863 3471.50465868172
1.36621046 0.663425624 3455.46424868839
1.37495971 0.661977351 3441.38097770191
1.38344264 0.660817742 3429.00422513712
1.39166856 0.659907281 3418.11636159284
1.3996464 0.659211695 3408.52868392042
1.40738499 0.65870142 3400.07848445846
1.41489279 0.658350885 3392.6261403411
1.42217791 0.658137679 3386.04721448325
1.42924857 0.658044219 3380.24412845766
1.43611228 0.658049285 3375.09712235956
1.44277668 0.658154726 3370.61322199629
1.44924903 0.658280909 3366.58850832788
1.455447435 0.6584512295 3362.93317648106
1.46164584 0.65862155 3359.27784463423
1.46758378 0.658994257 3356.56967693196
1.47335696 0.659404933 3354.27689503413
1.47897172 0.659843683 3352.25810958619
1.48443401 0.660306394 3350.47710756969
1.48974991 0.660789967 3348.91519030018
1.49492526 0.66129154 3347.55336802409
1.49996579 0.661808252 3346.37295209385
1.50487697 0.662337661 3345.3558159265
1.50966418 0.66287744 3344.4870748473
1.51433265 0.663425326 3343.75007769284
1.51888752 0.663980842 3343.13898300615
1.52333367 0.664538503 3342.6125994824
1.52767622 0.665109873 3342.2495057584
1.53191972 0.665636182 3341.96294315021
1.536023975 0.666121185 3341.46445710008
1.54012823 0.666606188 3340.96597104995
1.54410231 0.667196929 3340.81699382347
1.54799533 0.6677863 3340.84999504429
1.5518117 0.668371558 3340.94025659504
1.55555546 0.668952763 3341.06441264784
1.5592308 0.669530332 3341.22215205978
1.56284177 0.670104921 3341.41435807522
1.5663923 0.670676827 3341.64015748668
1.56988633 0.67124629 3341.89809494834
1.57332754 0.671813667 3342.1864039715
1.57671976 0.672379017 3342.50247497058
1.5800668 0.672943294 3342.84804432367
1.58337235 0.673504949 3343.20587872902
1.58663976 0.674070239 3343.61716949146
1.58987296 0.67461127 3344.06059830411
1.59306163 0.67513141 3344.69506383712
1.5962503 0.67565155 3345.32952937013
1.59940147 0.676612973 3341.52302724123
1.60253227 0.680696487 3295.5087766652
1.60564613 0.710354269 3020.19096310469
1.60874641 0.912806928 2772.42332747495
1.61183655 1.39138687 3853.50122703417
1.61492002 1.68389368 4869.75701054456
1.61800003 2.37656784 9084.17693221324
1.62059247 3.48380184 12100.5642637332
1.62318504 4.44046354 14126.3631736716
1.62577748 5.53367376 16384.11821005
1.62837005 6.57827902 18260.7439738461
1.63096249 7.54320526 19710.4245730994
1.63355505 8.43347931 20861.0953427481
1.6361475 9.28156567 21892.0449499408
1.638740005 10.104152685 23018.2554716588
1.64133251 10.9267397 24144.4659933768
1.64392495 11.7442102 25572.8832877823
1.64651752 12.571681 27151.2213746011
1.64910996 13.396678 28761.7080503369
1.65170252 14.2130842 30372.3185810195
1.65429497 15.0132074 31974.8808486419
1.65688753 15.7738838 33536.1665984343
1.65947998 16.4876633 35052.5841373093
1.66207254 17.139761 36504.64839226
1.66466498 17.7203712 37877.4592317898
1.66725755 18.2246284 39159.0449812752
1.66984999 18.6537895 40345.1267233009
1.67244256 19.0097618 41429.9719009102
1.675035 19.2969456 42410.9190379093
1.67762744 19.5225563 43290.8003376106
1.680219945 19.67023755 44026.544539696
1.68281245 19.8179188 44762.2887417815
1.68540502 19.9009571 45363.2715854261
1.68799746 19.9509773 45885.5057677237
1.69059002 19.9739723 46336.7218848735
1.69318247 19.9750862 46723.5660495253
1.69577503 19.9615326 47057.0309402322
1.69836748 19.9379539 47346.1183224808
1.70096004 19.9041195 47592.2676838292
1.70355248 19.8627148 47800.5687198612
1.70614505 19.821497 47984.3371421468
1.70873749 19.785265 48153.1353755993
1.71133006 19.7525177 48305.0145616279
