x Norm_pressure Norm_heat_flux
0.0180187915 66.148674 270085.401246374
0.0180262625 65.67599105 269562.91955492
0.0180387404 64.87576675 266944.891957299
0.0180562008 63.7841358 263088.976321605
0.01807860935 62.4200039 258447.54732062
0.0181059232 60.79287335 253071.147608755
0.0181380948 58.9161053 246914.133526698
0.01817507205 56.8187008 240104.659815314
0.0182168037 54.51459315 232649.699086557
0.0182632357 52.0318794 224550.625889452
0.0183143206 49.40231705 215931.360912247
0.0183700118 46.64279745 206744.689725843
0.0184302628 43.809166 197090.070160973
0.01849503535 40.9279747 186926.943737317
0.01856426985 38.0990639 177042.177793611
0.018638571225 35.24759675 166304.542822288
0.0187128726 32.3961296 155566.907850964
0.0187919755 29.65906525 145750.533625249
0.0188749339 26.9697552 135634.999518759
0.0189615451 24.35624505 125441.217992092
0.0190516002 21.86333565 115343.490794337
0.0191448946 19.52409935 105519.157332579
0.0192412194 17.3521423 96094.0904658211
0.0193403661 15.34580515 87107.6253809545
0.0194421224 13.5033388 78592.0343211052
0.0195462685 11.8246479 70587.1893452134
0.0196525902 10.30299995 63081.8359630333
0.0197608657 8.934342385 56108.9593865847
0.0198708791 7.7097466 49674.6286086277
0.0199824255 6.61952114 43859.2372829324
0.0200953241 5.667242525 38295.5336119689
0.0202220436 5.148373245 34215.7501349047
0.0203487631 4.629503965 30135.9666578405
0.0205137152 4.48098993 28272.8644691433
0.0207085144 4.396393775 27209.4800215683
0.0209385343 4.27538538 26031.2818376047
0.0212101042 4.150153635 24888.2783817046
0.0215306729 4.02885604 23826.7868371835
0.0219090097 3.89416933 22786.7654573523
0.0223554168 3.73939228 21731.0051649951
0.0228819996 3.565421225 20620.3968536658
0.0235029534 3.37902343 19462.5348690853
0.0242349096 3.189821005 18328.2415574824
0.0250973199 3.001433015 17247.4917229791
0.0261128936 2.81575668 16192.7526317206
0.0273080822 2.63995111 15170.2035816425
0.0287136119 2.48160708 14263.6998417976
0.0305085471 2.3476356875 13570.3999972772
0.0323034823 2.213664295 12877.1001527569
0.03457601 2.104174975 12305.9459764413
0.0372364931 2.01796043 11798.4581608281
0.0403460413 1.95606792 11402.1472226116
0.0439734645 1.914858465 11139.9954809614
0.0481955446 1.891306105 10984.7284004429
0.0530969501 1.885305105 10930.8391030686
0.0587697774 1.89600277 10979.3499943612
0.0653124675 1.921228645 11151.2201617102
0.0728279725 1.95816547 11469.6465626998
0.0814209655 2.00356752 11945.4222425856
0.0911939517 2.05453169 12567.7776423823
0.102242149 2.108052255 13280.3194669749
0.11464712 2.160346745 13984.3818948575
0.128469378 2.208195925 14593.5758497399
0.144461401 2.24368757 14952.3440350755
0.160453424 2.279179215 15311.1122204111
0.178558066 2.301968935 15441.8565734978
0.197952598 2.318491455 15476.5184944423
0.218482539 2.329945325 15440.8078713817
0.239941671 2.33722043 15355.1164577615
0.262078047 2.3411901 15235.9911339534
0.28460446 2.342937945 15097.9784827914
0.307212591 2.343490005 14953.4178293607
0.329589576 2.34350789 14810.7495771406
0.351435304 2.34326577 14674.4971416422
0.372477829 2.342882395 14547.4246260311
0.392486155 2.342359425 14429.9952819337
0.411278367 2.341883305 14324.8428837892
0.428725481 2.341159225 14227.1532480306
0.444750726 2.340767505 14150.9963066475
0.4588992895 2.340470675 14073.5748454016
0.473047853 2.340173845 13996.1533841557
0.486770242 2.33976901 13947.4654425178
0.500492632 2.33931446 13892.8155011288
0.514214993 2.338891505 13838.3128005882
0.527937412 2.33849585 13784.5742067816
0.541659772 2.338140365 13731.9322913184
0.555382192 2.337864755 13680.7064775116
0.569104552 2.337691665 13631.0470172697
0.582826912 2.33758616 13582.7755554548
0.596549332 2.337463375 13535.4453510878
0.610271692 2.337245345 13488.6485560519
0.623994112 2.33688736 13442.121050175
0.637716472 2.33647239 13396.2449871927
0.651438892 2.33594453 13350.7883649094
0.665161252 2.33561933 13306.9483307137
0.678883642 2.335621355 13266.0197409007
0.692606032 2.33562338 13225.0911510877
0.706328392 2.335335615 13184.3790063255
0.720050812 2.334991095 13144.1570621792
0.733773172 2.33465302 13104.5975512977
0.747495592 2.33434153 13065.7759509255
0.761217952 2.33405447 13027.7027495894
0.774940372 2.333786015 12990.3686130025
0.788662732 2.33353257 12953.7594895501
0.802385092 2.333293555 12917.8689054526
0.816107512 2.3330673 12882.677138265
0.829829872 2.332859755 12848.20446246
0.843552291 2.33265412 12814.3569831407
0.857274652 2.332495685 12781.3220886261
0.870997071 2.332280275 12748.6961964681
0.884719431 2.33216262 12716.9454188003
0.898441821 2.33228028 12687.0469701489
0.912164211 2.33239794 12657.1485214975
0.925886571 2.332270265 12627.2485422238
0.939608991 2.33203483 12597.4602231027
0.953331351 2.33175695 12567.9464624961
0.967053771 2.331483845 12538.8592185801
0.980776131 2.331235055 12510.2726136224
0.994498551 2.33101475 12482.2147508523
1.00822091 2.33081627 12454.6557705886
1.02194333 2.33064127 12427.6314040801
1.03566563 2.33047426 12401.022965367
1.04938805 2.330319045 12374.9788997216
1.06311047 2.33021021 12349.2819089595
1.07683289 2.329984905 12324.1509473483
1.09055519 2.329889295 12297.0938606513
1.10427761 2.328877685 12325.5378919041
1.119421065 1.7549248025 9525.08094571286
1.13456452 1.18097192 6724.62399952163
1.15059936 1.06492448 5901.73304804407
1.16612196 1.0048959535 5557.0782292426
1.18114924 0.9613872465 5307.38032831914
1.1956979 0.9271853265 5109.68641460651
1.20978367 0.8997986615 4949.99209686106
1.22342205 0.878022373 4821.63590602542
1.23662806 0.8607845305 4718.66215051985
1.24941611 0.847112417 4635.70137213016
