# step, energy, mass, x-momentum, y-momentum, z-momentum 
1 3.4816999e+10 1.2083713e+05 5.9941663e+07 4.1276988e+07 0.0000000e+00
2 3.3899650e+10 1.1746213e+05 5.8387882e+07 3.6706126e+07 0.0000000e+00
3 3.2356073e+10 1.1189077e+05 5.6468991e+07 3.2441175e+07 0.0000000e+00
4 3.0057103e+10 1.0366926e+05 5.4175311e+07 2.8044640e+07 0.0000000e+00
5 2.7047842e+10 9.2985901e+04 5.1350575e+07 2.3220694e+07 0.0000000e+00
6 2.3385378e+10 8.0452939e+04 4.8421568e+07 2.0483299e+07 0.0000000e+00
7 1.9793463e+10 6.8327549e+04 4.5425381e+07 1.7766612e+07 0.0000000e+00
8 1.6728516e+10 5.7535998e+04 4.2315425e+07 1.4697385e+07 0.0000000e+00
9 1.4004165e+10 4.8195192e+04 3.9358432e+07 1.2573724e+07 0.0000000e+00
10 1.1600116e+10 3.9853302e+04 3.6622000e+07 1.0209182e+07 0.0000000e+00
11 9.5408320e+09 3.2593557e+04 3.3743920e+07 9.3950161e+06 0.0000000e+00
12 7.6094866e+09 2.6006982e+04 3.1541212e+07 6.2107871e+06 0.0000000e+00
13 6.2492137e+09 2.1294849e+04 2.9516238e+07 4.9107275e+06 0.0000000e+00
14 5.2806886e+09 1.7943802e+04 2.7694928e+07 3.9449280e+06 0.0000000e+00
15 4.6891296e+09 1.5871637e+04 2.6007826e+07 3.3369276e+06 0.0000000e+00
16 4.1768644e+09 1.4095155e+04 2.4515711e+07 2.6396769e+06 0.0000000e+00
17 3.8284871e+09 1.2871791e+04 2.3144414e+07 2.1985681e+06 0.0000000e+00
18 3.6628615e+09 1.2260608e+04 2.1880726e+07 1.9030410e+06 0.0000000e+00
19 3.6970220e+09 1.2461671e+04 2.0727957e+07 1.8791977e+06 0.0000000e+00
20 4.0260149e+09 1.3687652e+04 1.9700290e+07 1.9983400e+06 0.0000000e+00
21 4.6094843e+09 1.5801233e+04 1.8797027e+07 2.1602515e+06 0.0000000e+00
22 5.3475068e+09 1.8475878e+04 1.7994731e+07 2.2676433e+06 0.0000000e+00
23 6.1461740e+09 2.1391572e+04 1.7272882e+07 2.2486239e+06 0.0000000e+00
24 6.9238132e+09 2.4081328e+04 1.6611105e+07 2.0510369e+06 0.0000000e+00
25 7.5753971e+09 2.6326449e+04 1.5958285e+07 1.7479387e+06 0.0000000e+00
26 7.9592417e+09 2.7690839e+04 1.5276543e+07 1.4134623e+06 0.0000000e+00
27 8.0017434e+09 2.7876419e+04 1.4553579e+07 1.3508111e+06 0.0000000e+00
28 7.6824790e+09 2.6820412e+04 1.3786830e+07 1.4316852e+06 0.0000000e+00
29 7.0583403e+09 2.4723745e+04 1.2985644e+07 1.5461656e+06 0.0000000e+00
30 6.1931712e+09 2.1792250e+04 1.2183760e+07 1.6294700e+06 0.0000000e+00
31 5.2194440e+09 1.8507120e+04 1.1408624e+07 1.6945392e+06 0.0000000e+00
32 4.5301503e+09 1.6043371e+04 1.0714501e+07 1.7572307e+06 0.0000000e+00
33 4.1031141e+09 1.4509335e+04 1.0119722e+07 1.7347077e+06 0.0000000e+00
34 3.9637717e+09 1.3977583e+04 9.5900818e+06 1.6233888e+06 0.0000000e+00
35 3.8537650e+09 1.3590824e+04 9.1141780e+06 1.4573615e+06 0.0000000e+00
36 3.7441202e+09 1.3216801e+04 8.6839658e+06 1.2680987e+06 0.0000000e+00
37 3.6936241e+09 1.3008046e+04 8.3062922e+06 1.0788274e+06 0.0000000e+00
38 3.7215544e+09 1.3049633e+04 7.9828038e+06 1.0078989e+06 0.0000000e+00
39 3.8253120e+09 1.3289581e+04 7.7148207e+06 1.0088376e+06 0.0000000e+00
40 3.8770259e+09 1.3436453e+04 7.4809284e+06 1.0141250e+06 0.0000000e+00
41 3.8602413e+09 1.3373361e+04 7.2698232e+06 1.0098129e+06 0.0000000e+00
42 3.8640707e+09 1.3400128e+04 7.0947432e+06 9.9220668e+05 0.0000000e+00
43 3.9948800e+09 1.3873569e+04 6.9555376e+06 9.5283692e+05 0.0000000e+00
44 4.2054621e+09 1.4620135e+04 6.8295792e+06 8.6884992e+05 0.0000000e+00
45 4.4065060e+09 1.5333289e+04 6.7050707e+06 7.5639680e+05 0.0000000e+00
46 4.6092631e+09 1.6043403e+04 6.5837000e+06 6.5390736e+05 0.0000000e+00
47 4.7689063e+09 1.6619715e+04 6.4535214e+06 6.0118049e+05 0.0000000e+00
48 4.8692696e+09 1.7007062e+04 6.3151720e+06 5.9380439e+05 0.0000000e+00
49 4.9511644e+09 1.7325287e+04 6.1810574e+06 5.8819467e+05 0.0000000e+00
50 5.0244842e+09 1.7614814e+04 6.0483461e+06 5.7360344e+05 0.0000000e+00
51 5.1179301e+09 1.7972735e+04 5.9248950e+06 5.4815540e+05 0.0000000e+00
52 5.2071917e+09 1.8314766e+04 5.8040696e+06 5.0853042e+05 0.0000000e+00
53 5.2983506e+09 1.8662139e+04 5.6907752e+06 4.6447068e+05 0.0000000e+00
54 5.3700267e+09 1.8950631e+04 5.5775663e+06 4.2735043e+05 0.0000000e+00
55 5.4249240e+09 1.9182694e+04 5.4660808e+06 4.0635853e+05 0.0000000e+00
56 5.4729263e+09 1.9385890e+04 5.3567462e+06 4.0787166e+05 0.0000000e+00
57 5.5034415e+09 1.9539282e+04 5.2460353e+06 4.0924976e+05 0.0000000e+00
58 5.5179527e+09 1.9637476e+04 5.1336764e+06 4.0071307e+05 0.0000000e+00
59 5.5179324e+09 1.9686914e+04 5.0206438e+06 3.8558169e+05 0.0000000e+00
60 5.5018637e+09 1.9680616e+04 4.9055965e+06 3.6226049e+05 0.0000000e+00
61 5.4678100e+09 1.9610697e+04 4.7876302e+06 3.3977055e+05 0.0000000e+00
62 5.4116120e+09 1.9463238e+04 4.6654840e+06 3.2035395e+05 0.0000000e+00
63 5.3355965e+09 1.9243632e+04 4.5389012e+06 3.0811792e+05 0.0000000e+00
64 5.2404719e+09 1.8953026e+04 4.4084172e+06 2.9978137e+05 0.0000000e+00
65 5.1247276e+09 1.8586562e+04 4.2744268e+06 2.8900939e+05 0.0000000e+00
66 4.9910758e+09 1.8151415e+04 4.1373973e+06 2.7641647e+05 0.0000000e+00
67 4.8403333e+09 1.7651039e+04 3.9963511e+06 2.7126040e+05 0.0000000e+00
68 4.6755410e+09 1.7095216e+04 3.8530721e+06 2.6868388e+05 0.0000000e+00
69 4.5008514e+09 1.6499304e+04 3.7110800e+06 2.6441938e+05 0.0000000e+00
70 4.3193196e+09 1.5874447e+04 3.5787836e+06 2.5701497e+05 0.0000000e+00
71 4.1390538e+09 1.5247231e+04 3.4501207e+06 2.4843576e+05 0.0000000e+00
72 3.9624664e+09 1.4630553e+04 3.3250631e+06 2.3806721e+05 0.0000000e+00
73 3.7947297e+09 1.4042821e+04 3.2050795e+06 2.2668605e+05 0.0000000e+00
74 3.6405897e+09 1.3501690e+04 3.0913273e+06 2.1515379e+05 0.0000000e+00
75 3.5030389e+09 1.3019568e+04 2.9847682e+06 2.0433454e+05 0.0000000e+00
76 3.3836976e+09 1.2603176e+04 2.8860712e+06 1.9531219e+05 0.0000000e+00
77 3.2826137e+09 1.2253627e+04 2.7951885e+06 1.8827006e+05 0.0000000e+00
78 3.1970192e+09 1.1959447e+04 2.7116827e+06 1.8159869e+05 0.0000000e+00
79 3.1239646e+09 1.1712333e+04 2.6350727e+06 1.7726179e+05 0.0000000e+00
80 3.0590586e+09 1.1496236e+04 2.5641636e+06 1.7363188e+05 0.0000000e+00
81 2.9978299e+09 1.1292093e+04 2.4978368e+06 1.7061567e+05 0.0000000e+00
82 2.9378787e+09 1.1092450e+04 2.4350100e+06 1.6777749e+05 0.0000000e+00
83 2.8773209e+09 1.0890178e+04 2.3747013e+06 1.6532279e+05 0.0000000e+00
84 2.8156487e+09 1.0681813e+04 2.3162738e+06 1.6289757e+05 0.0000000e+00
85 2.7522796e+09 1.0465938e+04 2.2593227e+06 1.6022073e+05 0.0000000e+00
86 2.6873885e+09 1.0243527e+04 2.2032631e+06 1.5834193e+05 0.0000000e+00
87 2.6209000e+09 1.0012519e+04 2.1483327e+06 1.5527004e+05 0.0000000e+00
88 2.5531684e+09 9.7771427e+03 2.0945158e+06 1.5208937e+05 0.0000000e+00
89 2.4856222e+09 9.5398167e+03 2.0418327e+06 1.4931711e+05 0.0000000e+00
90 2.4190438e+09 9.3054522e+03 1.9904669e+06 1.4686514e+05 0.0000000e+00
91 2.3540374e+09 9.0751013e+03 1.9407524e+06 1.4475062e+05 0.0000000e+00
92 2.2919642e+09 8.8545035e+03 1.8922229e+06 1.4256392e+05 0.0000000e+00
93 2.2328447e+09 8.6424374e+03 1.8447982e+06 1.3999770e+05 0.0000000e+00
94 2.1772686e+09 8.4436360e+03 1.7984497e+06 1.3784031e+05 0.0000000e+00
95 2.1200368e+09 8.2378393e+03 1.7498293e+06 1.3414849e+05 0.0000000e+00
96 2.0666988e+09 8.0467894e+03 1.7043853e+06 1.2743713e+05 0.0000000e+00
97 2.0147345e+09 7.8620829e+03 1.6605679e+06 1.1235459e+05 0.0000000e+00
98 1.9646279e+09 7.6818525e+03 1.6179342e+06 1.0421877e+05 0.0000000e+00
99 1.9147344e+09 7.5028848e+03 1.5763770e+06 1.0270243e+05 0.0000000e+00
100 1.8648246e+09 7.3217661e+03 1.5352806e+06 1.0143652e+05 0.0000000e+00
101 1.8146226e+09 7.1387555e+03 1.4948493e+06 1.0199434e+05 0.0000000e+00
102 1.7641085e+09 6.9548419e+03 1.4552796e+06 1.0012260e+05 0.0000000e+00
103 1.7137955e+09 6.7685940e+03 1.4164677e+06 9.7071282e+04 0.0000000e+00
104 1.6639712e+09 6.5848286e+03 1.3786100e+06 9.4504547e+04 0.0000000e+00
105 1.6157844e+09 6.4056261e+03 1.3417131e+06 9.2053659e+04 0.0000000e+00
106 1.5686484e+09 6.2300106e+03 1.3056024e+06 9.0310107e+04 0.0000000e+00
107 1.5231726e+09 6.0588921e+03 1.2706929e+06 8.7513222e+04 0.0000000e+00
108 1.4789962e+09 5.8938562e+03 1.2367219e+06 8.4634524e+04 0.0000000e+00
109 1.4369582e+09 5.7363052e+03 1.2038199e+06 8.1948924e+04 0.0000000e+00
110 1.3964515e+09 5.5830943e+03 1.1718615e+06 7.9354549e+04 0.0000000e+00
111 1.3587620e+09 5.4431171e+03 1.1410329e+06 7.8420434e+04 0.0000000e+00
112 1.3218232e+09 5.3039569e+03 1.1108906e+06 7.5988775e+04 0.0000000e+00
113 1.2857936e+09 5.1686694e+03 1.0816732e+06 7.3325765e+04 0.0000000e+00
114 1.2517770e+09 5.0418685e+03 1.0531794e+06 7.1072812e+04 0.0000000e+00
115 1.2183890e+09 4.9157419e+03 1.0254608e+06 6.9210776e+04 0.0000000e+00
116 1.1853483e+09 4.7910374e+03 9.9858798e+05 6.8658757e+04 0.0000000e+00
117 1.1534889e+09 4.6711330e+03 9.7242777e+05 6.6817781e+04 0.0000000e+00
118 1.1221869e+09 4.5532368e+03 9.4647598e+05 6.4725732e+04 0.0000000e+00
119 1.0910564e+09 4.4358885e+03 9.2113987e+05 6.2843015e+04 0.0000000e+00
120 1.0602919e+09 4.3190515e+03 8.9668912e+05 6.1206981e+04 0.0000000e+00
121 1.0303087e+09 4.2050255e+03 8.7181477e+05 6.0592996e+04 0.0000000e+00
122 9.9880948e+08 4.0858285e+03 8.4710297e+05 5.9024569e+04 0.0000000e+00
123 9.6659926e+08 3.9637234e+03 8.2240006e+05 5.7603173e+04 0.0000000e+00
124 9.3365616e+08 3.8368585e+03 7.9751589e+05 5.6469237e+04 0.0000000e+00
125 8.9963298e+08 3.7060108e+03 7.7162700e+05 5.5437133e+04 0.0000000e+00
126 8.6490276e+08 3.5720293e+03 7.4507153e+05 5.5395377e+04 0.0000000e+00
127 8.3100815e+08 3.4422737e+03 7.1736952e+05 5.4881176e+04 0.0000000e+00
128 7.9658126e+08 3.3100484e+03 6.8798081e+05 5.4547245e+04 0.0000000e+00
129 7.6137522e+08 3.1744083e+03 6.5653851e+05 5.4866699e+04 0.0000000e+00
130 7.2534241e+08 3.0359403e+03 6.2239841e+05 5.5680651e+04 0.0000000e+00
131 6.8975680e+08 2.8999539e+03 5.8553562e+05 5.6782288e+04 0.0000000e+00
132 6.5503778e+08 2.7671487e+03 5.4693231e+05 5.8131591e+04 0.0000000e+00
133 6.2102437e+08 2.6391804e+03 5.1148632e+05 5.9697896e+04 0.0000000e+00
134 5.8773774e+08 2.5153817e+03 4.9121128e+05 6.1848105e+04 0.0000000e+00
135 5.5631464e+08 2.4022521e+03 4.9351878e+05 6.4375149e+04 0.0000000e+00
136 5.2665337e+08 2.2953052e+03 5.0913370e+05 6.7011239e+04 0.0000000e+00
137 4.9705345e+08 2.1892275e+03 5.2903481e+05 6.8465992e+04 0.0000000e+00
138 4.6854854e+08 2.0885148e+03 5.5177797e+05 7.0194148e+04 0.0000000e+00
139 4.4313343e+08 2.0006550e+03 5.7455761e+05 7.2182272e+04 0.0000000e+00
140 4.1948467e+08 1.9182479e+03 5.9541434e+05 7.2893939e+04 0.0000000e+00
141 3.9752714e+08 1.8432250e+03 6.1424717e+05 7.3330392e+04 0.0000000e+00
142 3.7812125e+08 1.7779174e+03 6.2779871e+05 7.2635543e+04 0.0000000e+00
143 3.6151116e+08 1.7244030e+03 6.3878507e+05 7.0354585e+04 0.0000000e+00
144 3.4646444e+08 1.6734067e+03 6.4859774e+05 6.8666337e+04 0.0000000e+00
145 3.3216591e+08 1.6230023e+03 6.5857401e+05 6.6178363e+04 0.0000000e+00
146 3.1793254e+08 1.5711647e+03 6.6669959e+05 6.3757707e+04 0.0000000e+00
147 3.0299876e+08 1.5173777e+03 6.7142356e+05 6.2534577e+04 0.0000000e+00
148 2.8933811e+08 1.4695576e+03 6.7330604e+05 6.2085334e+04 0.0000000e+00
149 2.7534824e+08 1.4206320e+03 6.7310616e+05 6.0579394e+04 0.0000000e+00
150 2.5911557e+08 1.3647110e+03 6.7132363e+05 5.7654935e+04 0.0000000e+00
151 2.4547808e+08 1.3164147e+03 6.6888939e+05 5.7155287e+04 0.0000000e+00
152 2.3140257e+08 1.2660350e+03 6.6563048e+05 5.5095019e+04 0.0000000e+00
153 2.1692597e+08 1.2146867e+03 6.6221381e+05 5.2820318e+04 0.0000000e+00
154 2.0632660e+08 1.1770033e+03 6.5867325e+05 5.2022012e+04 0.0000000e+00
155 1.9533828e+08 1.1379570e+03 6.5498048e+05 5.0035616e+04 0.0000000e+00
156 1.8332046e+08 1.0957892e+03 6.5191041e+05 4.8740363e+04 0.0000000e+00
157 1.7379384e+08 1.0619439e+03 6.4901154e+05 4.8566098e+04 0.0000000e+00
158 1.6816972e+08 1.0422782e+03 6.4621576e+05 4.8917314e+04 0.0000000e+00
159 1.6378614e+08 1.0264309e+03 6.4277040e+05 4.7784241e+04 0.0000000e+00
160 1.6060788e+08 1.0133072e+03 6.3968453e+05 4.6707720e+04 0.0000000e+00
161 1.5839080e+08 1.0029463e+03 6.3654530e+05 4.5895816e+04 0.0000000e+00
162 1.5726491e+08 9.9733188e+02 6.3335919e+05 4.5033752e+04 0.0000000e+00
163 1.5700476e+08 9.9606634e+02 6.3032560e+05 4.5166646e+04 0.0000000e+00
164 1.5775034e+08 9.9850556e+02 6.2698370e+05 4.5230024e+04 0.0000000e+00
165 1.5730710e+08 9.9577457e+02 6.2346423e+05 4.4213117e+04 0.0000000e+00
166 1.5660460e+08 9.9192661e+02 6.1988800e+05 4.2817932e+04 0.0000000e+00
167 1.5647807e+08 9.8957270e+02 6.1624455e+05 4.1792180e+04 0.0000000e+00
168 1.5639594e+08 9.8736275e+02 6.1242701e+05 4.1075912e+04 0.0000000e+00
169 1.5626919e+08 9.8544653e+02 6.0853598e+05 4.0486932e+04 0.0000000e+00
170 1.5600331e+08 9.8281396e+02 6.0446958e+05 3.9902403e+04 0.0000000e+00
171 1.5539007e+08 9.7851005e+02 6.0019898e+05 3.9451860e+04 0.0000000e+00
172 1.5435818e+08 9.7325246e+02 5.9569913e+05 3.8934032e+04 0.0000000e+00
173 1.5280588e+08 9.6540598e+02 5.9127279e+05 3.8460902e+04 0.0000000e+00
174 1.5076709e+08 9.5503646e+02 5.8695793e+05 3.8063028e+04 0.0000000e+00
175 1.4843870e+08 9.4409787e+02 5.8263974e+05 3.7670286e+04 0.0000000e+00
176 1.4619318e+08 9.3301852e+02 5.7797544e+05 3.7472129e+04 0.0000000e+00
177 1.4384818e+08 9.2189710e+02 5.7313789e+05 3.7056750e+04 0.0000000e+00
178 1.4038527e+08 9.0693394e+02 5.6758495e+05 3.6603104e+04 0.0000000e+00
179 1.3601394e+08 8.8857873e+02 5.6187454e+05 3.6232977e+04 0.0000000e+00
180 1.3073897e+08 8.6676574e+02 5.5650898e+05 3.5990252e+04 0.0000000e+00
181 1.2617299e+08 8.4777129e+02 5.5147805e+05 3.5790378e+04 0.0000000e+00
182 1.2202967e+08 8.3105846e+02 5.4633309e+05 3.5210593e+04 0.0000000e+00
183 1.1797803e+08 8.1364341e+02 5.4121306e+05 3.4771005e+04 0.0000000e+00
184 1.1353992e+08 7.9517680e+02 5.3510505e+05 3.4466947e+04 0.0000000e+00
185 1.0815605e+08 7.7337343e+02 5.2850824e+05 3.4524021e+04 0.0000000e+00
186 1.0342989e+08 7.5378981e+02 5.2196321e+05 3.3739882e+04 0.0000000e+00
