# step, energy, mass, x-momentum, y-momentum, z-momentum 
1 3.4828846e+10 1.2087820e+05 1.9460852e+08 4.3129624e+07 0.0000000e+00
2 3.9036319e+10 1.3160037e+05 1.7828131e+08 3.4996374e+07 0.0000000e+00
3 4.1104175e+10 1.3590033e+05 1.6176613e+08 2.9336335e+07 0.0000000e+00
4 4.0173496e+10 1.3107466e+05 1.4559560e+08 2.4706514e+07 0.0000000e+00
5 3.6427386e+10 1.2214634e+05 1.2990178e+08 2.3876225e+07 0.0000000e+00
6 3.3174307e+10 1.1020171e+05 1.1470776e+08 2.3105624e+07 0.0000000e+00
7 2.8297817e+10 9.4776248e+04 1.0031261e+08 2.0889948e+07 0.0000000e+00
8 2.3613046e+10 7.9406718e+04 8.7228739e+07 1.8691352e+07 0.0000000e+00
9 1.9553598e+10 6.5692517e+04 7.5554183e+07 1.6655348e+07 0.0000000e+00
10 1.5837803e+10 5.3433360e+04 6.5449655e+07 1.4145474e+07 0.0000000e+00
11 1.2922255e+10 4.3331689e+04 5.5772563e+07 1.3528790e+07 0.0000000e+00
12 1.0250900e+10 3.4289480e+04 4.9384727e+07 9.4351394e+06 0.0000000e+00
13 8.3149337e+09 3.0172424e+04 4.3701712e+07 7.7174890e+06 0.0000000e+00
14 6.9276708e+09 2.6353918e+04 3.8759172e+07 6.0346395e+06 0.0000000e+00
15 5.8606763e+09 2.2713577e+04 3.4485616e+07 4.8615836e+06 0.0000000e+00
16 5.0358291e+09 1.9217331e+04 3.0829246e+07 4.0833724e+06 0.0000000e+00
17 4.3310859e+09 1.6438450e+04 2.7701829e+07 3.5453844e+06 0.0000000e+00
18 3.8076509e+09 1.4509704e+04 2.5017855e+07 3.0461370e+06 0.0000000e+00
19 3.3429151e+09 1.2647891e+04 2.2706512e+07 2.6417924e+06 0.0000000e+00
20 2.9365840e+09 1.0950003e+04 2.0709646e+07 2.2953105e+06 0.0000000e+00
21 2.6017230e+09 9.5687073e+03 1.8970115e+07 2.0025378e+06 0.0000000e+00
22 2.3128715e+09 8.4364505e+03 1.7449809e+07 1.7516612e+06 0.0000000e+00
23 2.0637942e+09 7.4957318e+03 1.6114514e+07 1.5419932e+06 0.0000000e+00
24 1.8495442e+09 6.7206743e+03 1.4935747e+07 1.3630348e+06 0.0000000e+00
25 1.6655058e+09 6.0575888e+03 1.3891788e+07 1.2119608e+06 0.0000000e+00
26 1.5100987e+09 5.5069091e+03 1.2962401e+07 1.0815095e+06 0.0000000e+00
27 1.3821013e+09 5.0549643e+03 1.2131084e+07 9.6951116e+05 0.0000000e+00
28 1.2832548e+09 4.6738530e+03 1.1385297e+07 8.7403307e+05 0.0000000e+00
29 1.2051111e+09 4.3523908e+03 1.0713323e+07 7.9354357e+05 0.0000000e+00
30 1.1412221e+09 4.0854986e+03 1.0105303e+07 7.2524478e+05 0.0000000e+00
31 1.0915086e+09 3.8737137e+03 9.5535280e+06 6.6628564e+05 0.0000000e+00
32 1.0529826e+09 3.7042601e+03 9.0512861e+06 6.1602114e+05 0.0000000e+00
33 1.0222950e+09 3.5653356e+03 8.5919997e+06 5.7356738e+05 0.0000000e+00
34 9.9698990e+08 3.4524683e+03 8.1703612e+06 5.3762121e+05 0.0000000e+00
35 9.7687346e+08 3.3629163e+03 7.7817736e+06 5.0696669e+05 0.0000000e+00
36 9.6185821e+08 3.2961964e+03 7.4223868e+06 4.8317264e+05 0.0000000e+00
37 9.5245291e+08 3.2545179e+03 7.0892503e+06 4.6621749e+05 0.0000000e+00
38 9.5046801e+08 3.2411897e+03 6.7795842e+06 4.5766080e+05 0.0000000e+00
39 9.5725279e+08 3.2607481e+03 6.4915398e+06 4.5718572e+05 0.0000000e+00
40 9.7831130e+08 3.3306484e+03 6.2243840e+06 4.6511831e+05 0.0000000e+00
41 1.0187461e+09 3.4678783e+03 5.9770780e+06 4.8289417e+05 0.0000000e+00
42 1.0888848e+09 3.7112529e+03 5.7495634e+06 5.0805007e+05 0.0000000e+00
43 1.2002436e+09 4.0950686e+03 5.5410914e+06 5.3807627e+05 0.0000000e+00
44 1.3535840e+09 4.6261757e+03 5.3517588e+06 5.7220053e+05 0.0000000e+00
45 1.5498470e+09 5.3119159e+03 5.1807334e+06 6.0591005e+05 0.0000000e+00
46 1.7871649e+09 6.1418081e+03 5.0274672e+06 6.3177257e+05 0.0000000e+00
47 2.0596136e+09 7.0920355e+03 4.8904401e+06 6.4696338e+05 0.0000000e+00
48 2.3539841e+09 8.1154197e+03 4.7677302e+06 6.4633557e+05 0.0000000e+00
49 2.6509499e+09 9.1470299e+03 4.6574858e+06 6.2790384e+05 0.0000000e+00
50 2.9291350e+09 1.0112855e+04 4.5571942e+06 5.9226467e+05 0.0000000e+00
51 3.1688321e+09 1.0946895e+04 4.4612796e+06 5.4082866e+05 0.0000000e+00
52 3.3543375e+09 1.1594555e+04 4.3654882e+06 4.8076202e+05 0.0000000e+00
53 3.4728684e+09 1.2011707e+04 4.2649579e+06 4.3225036e+05 0.0000000e+00
54 3.5165926e+09 1.2171740e+04 4.1570283e+06 4.3329456e+05 0.0000000e+00
55 3.4845152e+09 1.2072125e+04 4.0405780e+06 4.5661035e+05 0.0000000e+00
56 3.3806424e+09 1.1725739e+04 3.9167200e+06 4.8184216e+05 0.0000000e+00
57 3.2153800e+09 1.1166990e+04 3.7869221e+06 4.9889780e+05 0.0000000e+00
58 3.0017528e+09 1.0438914e+04 3.6524962e+06 5.1140322e+05 0.0000000e+00
59 2.7504039e+09 9.5790642e+03 3.5142998e+06 5.1640253e+05 0.0000000e+00
60 2.4738856e+09 8.6295071e+03 3.3740684e+06 5.1914149e+05 0.0000000e+00
61 2.1892566e+09 7.6466983e+03 3.2331249e+06 5.2296437e+05 0.0000000e+00
62 1.9468342e+09 6.7996011e+03 3.0939326e+06 5.1838689e+05 0.0000000e+00
63 1.7376264e+09 6.0639270e+03 2.9591437e+06 5.0670216e+05 0.0000000e+00
64 1.5577235e+09 5.4297154e+03 2.8301218e+06 4.8962322e+05 0.0000000e+00
65 1.4224051e+09 4.9508511e+03 2.7101490e+06 4.6916062e+05 0.0000000e+00
66 1.3394236e+09 4.6585228e+03 2.6015613e+06 4.4724587e+05 0.0000000e+00
