# step, energy, mass, x-momentum, y-momentum, z-momentum 
1 3.4826502e+10 1.2087008e+05 1.0485268e+08 4.1901827e+07 0.0000000e+00
2 3.5587107e+10 1.2259554e+05 1.0004710e+08 3.5949310e+07 0.0000000e+00
3 3.5398497e+10 1.2106427e+05 9.4831242e+07 3.1093106e+07 0.0000000e+00
4 3.3966299e+10 1.1531833e+05 8.9132997e+07 2.6483401e+07 0.0000000e+00
5 3.0955207e+10 1.0450420e+05 8.3199747e+07 2.2853994e+07 0.0000000e+00
6 2.7025873e+10 9.2520425e+04 7.7127792e+07 2.1264241e+07 0.0000000e+00
7 2.3528429e+10 8.0035228e+04 7.0636339e+07 1.8881998e+07 0.0000000e+00
8 1.9740802e+10 6.7400142e+04 6.4261661e+07 1.5958190e+07 0.0000000e+00
9 1.6415156e+10 5.6110229e+04 5.8198991e+07 1.4006094e+07 0.0000000e+00
10 1.3525629e+10 4.6106201e+04 5.2593793e+07 1.1835094e+07 0.0000000e+00
11 1.1122122e+10 3.7680662e+04 4.6831952e+07 1.1430485e+07 0.0000000e+00
12 8.9086993e+09 3.0071633e+04 4.2661073e+07 7.7916208e+06 0.0000000e+00
13 7.2927878e+09 2.4497280e+04 3.8820651e+07 6.1901840e+06 0.0000000e+00
14 6.0587360e+09 2.0225786e+04 3.5359268e+07 4.9758261e+06 0.0000000e+00
15 5.1184924e+09 1.7054275e+04 3.2216703e+07 4.0245877e+06 0.0000000e+00
16 4.3184213e+09 1.4738085e+04 2.9357377e+07 3.2796099e+06 0.0000000e+00
17 3.6716586e+09 1.2822340e+04 2.6812584e+07 2.6571185e+06 0.0000000e+00
18 3.1596166e+09 1.1352146e+04 2.4528844e+07 2.1993070e+06 0.0000000e+00
19 2.7501154e+09 1.0242400e+04 2.2487532e+07 1.8721957e+06 0.0000000e+00
20 2.4289101e+09 9.3773949e+03 2.0672170e+07 1.6183003e+06 0.0000000e+00
21 2.1825514e+09 8.6944709e+03 1.9054840e+07 1.4136389e+06 0.0000000e+00
