# step, energy, mass, x-momentum, y-momentum, z-momentum 
1 3.4830691e+10 1.2088459e+05 3.7410987e+08 4.5582426e+07 0.0000000e+00
2 4.6661203e+10 1.4626210e+05 3.2019183e+08 3.4386504e+07 0.0000000e+00
3 5.1235874e+10 1.5519775e+05 2.6934300e+08 2.7759892e+07 0.0000000e+00
4 4.8756067e+10 1.5178749e+05 2.2434210e+08 2.6810980e+07 0.0000000e+00
5 4.5896630e+10 1.4557548e+05 1.8577406e+08 2.7141177e+07 0.0000000e+00
6 3.9507407e+10 1.2734805e+05 1.5314216e+08 2.6508924e+07 0.0000000e+00
7 3.3737314e+10 1.0954486e+05 1.2609302e+08 2.4615204e+07 0.0000000e+00
8 2.7797077e+10 9.1726561e+04 1.0419839e+08 2.1831400e+07 0.0000000e+00
9 2.2497284e+10 7.5281368e+04 8.6674701e+07 1.9223999e+07 0.0000000e+00
10 1.8032669e+10 6.2901119e+04 7.2727857e+07 1.5948228e+07 0.0000000e+00
11 1.4553292e+10 5.2253091e+04 6.0184358e+07 1.5722357e+07 0.0000000e+00
12 1.1499958e+10 4.1080748e+04 5.2724329e+07 1.0976801e+07 0.0000000e+00
13 9.3523969e+09 3.4272968e+04 4.6148605e+07 8.3991211e+06 0.0000000e+00
14 8.0603997e+09 2.9275560e+04 4.0622643e+07 6.8090608e+06 0.0000000e+00
15 7.0148440e+09 2.5113215e+04 3.6029454e+07 5.6825345e+06 0.0000000e+00
16 6.0726475e+09 2.1592091e+04 3.2216226e+07 4.9479122e+06 0.0000000e+00
17 5.2800940e+09 1.8731599e+04 2.9027034e+07 4.3498757e+06 0.0000000e+00
18 4.6348717e+09 1.6389896e+04 2.6320558e+07 3.8897624e+06 0.0000000e+00
19 4.1186086e+09 1.4510480e+04 2.4002607e+07 3.4894024e+06 0.0000000e+00
20 3.6966474e+09 1.3018463e+04 2.1991388e+07 3.1451118e+06 0.0000000e+00
21 3.3444929e+09 1.1773505e+04 2.0233103e+07 2.8506004e+06 0.0000000e+00
22 3.0537386e+09 1.0685383e+04 1.8680846e+07 2.5943885e+06 0.0000000e+00
23 2.7915189e+09 9.7023280e+03 1.7304212e+07 2.3638130e+06 0.0000000e+00
24 2.5550754e+09 8.8171964e+03 1.6074284e+07 2.1552202e+06 0.0000000e+00
25 2.3384402e+09 8.0141321e+03 1.4971015e+07 1.9654119e+06 0.0000000e+00
26 2.1393857e+09 7.2875912e+03 1.3976099e+07 1.7921547e+06 0.0000000e+00
27 1.9572726e+09 6.6308413e+03 1.3075197e+07 1.6338669e+06 0.0000000e+00
28 1.7911038e+09 6.0382125e+03 1.2256866e+07 1.4902723e+06 0.0000000e+00
29 1.6406365e+09 5.5108539e+03 1.1510494e+07 1.3597685e+06 0.0000000e+00
30 1.5039124e+09 5.0355842e+03 1.0828094e+07 1.2410215e+06 0.0000000e+00
31 1.3796205e+09 4.6092921e+03 1.0202430e+07 1.1334547e+06 0.0000000e+00
32 1.2672235e+09 4.2264377e+03 9.6273143e+06 1.0358232e+06 0.0000000e+00
33 1.1655594e+09 3.8811711e+03 9.0977195e+06 9.4746653e+05 0.0000000e+00
34 1.0741388e+09 3.5724696e+03 8.6089924e+06 8.6797274e+05 0.0000000e+00
35 9.9224081e+08 3.2966344e+03 8.1571673e+06 7.9634263e+05 0.0000000e+00
36 9.1914746e+08 3.0511471e+03 7.7387989e+06 7.3200964e+05 0.0000000e+00
37 8.5472127e+08 2.8327151e+03 7.3507441e+06 6.7440965e+05 0.0000000e+00
38 7.9840927e+08 2.6404086e+03 6.9903198e+06 6.2297090e+05 0.0000000e+00
39 7.4893539e+08 2.4715285e+03 6.6552108e+06 5.7709702e+05 0.0000000e+00
40 7.0595485e+08 2.3251965e+03 6.3433160e+06 5.3630377e+05 0.0000000e+00
41 6.6870507e+08 2.1989207e+03 6.0526916e+06 5.0023000e+05 0.0000000e+00
42 6.3659073e+08 2.0907346e+03 5.7816620e+06 4.6819202e+05 0.0000000e+00
43 6.0923490e+08 1.9989428e+03 5.5285247e+06 4.3986805e+05 0.0000000e+00
44 5.8630107e+08 1.9223350e+03 5.2917111e+06 4.1453332e+05 0.0000000e+00
45 5.6715208e+08 1.8591572e+03 5.0698900e+06 3.9203407e+05 0.0000000e+00
46 5.5145605e+08 1.8082373e+03 4.8618189e+06 3.7206766e+05 0.0000000e+00
47 5.3880087e+08 1.7682420e+03 4.6663781e+06 3.5453985e+05 0.0000000e+00
48 5.2877251e+08 1.7373286e+03 4.4823894e+06 3.3929061e+05 0.0000000e+00
49 5.2079734e+08 1.7138970e+03 4.3087925e+06 3.2577708e+05 0.0000000e+00
50 5.1478456e+08 1.6980790e+03 4.1450073e+06 3.1409240e+05 0.0000000e+00
51 5.1085547e+08 1.6895632e+03 3.9902406e+06 3.0439351e+05 0.0000000e+00
52 5.0842378e+08 1.6862714e+03 3.8435899e+06 2.9630273e+05 0.0000000e+00
53 5.0798526e+08 1.6895643e+03 3.7045150e+06 2.9001963e+05 0.0000000e+00
54 5.0943055e+08 1.6991379e+03 3.5723889e+06 2.8594051e+05 0.0000000e+00
55 5.1308746e+08 1.7157397e+03 3.4468904e+06 2.8438570e+05 0.0000000e+00
56 5.1934991e+08 1.7406669e+03 3.3277781e+06 2.8553125e+05 0.0000000e+00
57 5.2909535e+08 1.7761473e+03 3.2150223e+06 2.8946296e+05 0.0000000e+00
58 5.4337204e+08 1.8268257e+03 3.1085675e+06 2.9640829e+05 0.0000000e+00
59 5.6321262e+08 1.8968167e+03 3.0084340e+06 3.0713733e+05 0.0000000e+00
60 5.9131174e+08 1.9962384e+03 2.9147617e+06 3.2140425e+05 0.0000000e+00
61 6.2988227e+08 2.1332250e+03 2.8276251e+06 3.3850646e+05 0.0000000e+00
62 6.8247150e+08 2.3201967e+03 2.7472426e+06 3.5805949e+05 0.0000000e+00
63 7.5272854e+08 2.5684964e+03 2.6734778e+06 3.8000547e+05 0.0000000e+00
64 8.4168814e+08 2.8800850e+03 2.6061171e+06 4.0260905e+05 0.0000000e+00
65 9.4944593e+08 3.2577063e+03 2.5448867e+06 4.2498852e+05 0.0000000e+00
66 1.0764968e+09 3.7030088e+03 2.4895160e+06 4.4551799e+05 0.0000000e+00
67 1.2209495e+09 4.2079903e+03 2.4396569e+06 4.6263639e+05 0.0000000e+00
68 1.3799969e+09 4.7622775e+03 2.3950059e+06 4.7460499e+05 0.0000000e+00
69 1.5482899e+09 5.3467187e+03 2.3549043e+06 4.7955276e+05 0.0000000e+00
70 1.7193036e+09 5.9399666e+03 2.3187088e+06 4.7666329e+05 0.0000000e+00
71 1.8864624e+09 6.5194211e+03 2.2860996e+06 4.6525290e+05 0.0000000e+00
72 2.0423224e+09 7.0596403e+03 2.2559709e+06 4.4464312e+05 0.0000000e+00
73 2.1798811e+09 7.5366141e+03 2.2269939e+06 4.1644067e+05 0.0000000e+00
74 2.2930372e+09 7.9292635e+03 2.1975141e+06 3.8352668e+05 0.0000000e+00
75 2.3767410e+09 8.2207849e+03 2.1648861e+06 3.5040827e+05 0.0000000e+00
76 2.4274624e+09 8.3992643e+03 2.1275627e+06 3.4131252e+05 0.0000000e+00
